Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Account.1
2021-12-23,CUB - online payment,Groceries,,Lemon tea with company,15.0,Expense,,0.3,USD,15.0
2021-12-24,CUB - online payment,Groceries,,Lunch with company,262.0,Expense,,5.24,USD,262.0
2021-12-24,CUB - online payment,Dining out,,Beer,150.0,Expense,,3.0,USD,150.0
2021-12-25,CUB - online payment,Groceries,,Milk with bharath,40.0,Expense,,0.8,USD,40.0
2021-12-25,CUB - online payment,Groceries,,Water,30.0,Expense,,0.6,USD,30.0
2021-12-25,CUB - online payment,Groceries,,Corn,30.0,Expense,,0.6,USD,30.0
2021-12-25,CUB - online payment,Dining out,,Books,400.0,Expense,,8.0,USD,400.0
2021-12-25,CUB - online payment,General,,Cab,306.0,Expense,,6.12,USD,306.0
2021-12-25,CUB - online payment,Groceries,,Dinner with barath,504.0,Expense,,10.08,USD,504.0
2021-12-27,CUB - online payment,Groceries,,Coconut water with stu,50.0,Expense,,1.0,USD,50.0
2021-12-27,CUB - online payment,Groceries,,Lunch with barath,115.0,Expense,,2.3,USD,115.0
2021-12-28,CUB - online payment,Groceries,,Coffee and thattai,14.0,Expense,,0.28,USD,14.0
2021-12-30,CUB - online payment,General,,Rapido + toll,286.0,Expense,,5.72,USD,286.0
2021-12-30,CUB - online payment,Groceries,,Water,20.0,Expense,,0.4,USD,20.0
2021-12-30,CUB - online payment,General,,Bommasandra to pg,199.0,Expense,,3.98,USD,199.0
2021-12-30,CUB - online payment,Groceries,,Horlicks + kolakattai,25.0,Expense,,0.5,USD,25.0
2021-12-30,CUB - online payment,General,,Pg to office,43.0,Expense,,0.86,USD,43.0
2021-12-30,CUB - online payment,Groceries,,To barath,20.0,Expense,,0.4,USD,20.0
2022-01-01,CUB - online payment,Groceries,,Snacks,85.0,Expense,,1.7,USD,85.0
2022-01-02,CUB - online payment,General,,Train to vnr,725.0,Expense,,14.5,USD,725.0
2022-01-02,CUB - online payment,Groceries,,Dinner with barath,200.0,Expense,,4.0,USD,200.0
2022-01-02,CUB - online payment,General,,Tablet to gowdham,8.0,Expense,,0.16,USD,8.0
2022-01-03,CUB - online payment,Groceries,,Lunch unlimited nv,300.0,Expense,,6.0,USD,300.0
2022-01-03,CUB - online payment,Groceries,,Dairy milk,10.0,Expense,,0.2,USD,10.0
2022-01-04,CUB - online payment,Groceries,,Sent to preethi,107.0,Expense,,2.14,USD,107.0
2022-01-04,CUB - online payment,Groceries,,Lunch with company,106.0,Expense,,2.12,USD,106.0
2022-01-04,CUB - online payment,General,,To vicky,80.0,Expense,,1.6,USD,80.0
2022-01-04,CUB - online payment,Electricity,,Arrear and reval fee,1400.0,Expense,,28.0,USD,1400.0
2022-01-05,CUB - online payment,Groceries,,McDonald's with company,211.0,Expense,,4.22,USD,211.0
2022-01-05,CUB - online payment,General,,Lended money returned to vishnu,40.0,Expense,,0.8,USD,40.0
2022-01-05,CUB - online payment,General,,Lended money returned to kumara,30.0,Expense,,0.6,USD,30.0
2022-01-05,CUB - online payment,Groceries,,Lunch with company,388.0,Expense,,7.76,USD,388.0
2022-01-05,CUB - online payment,General,,To gobi 1st 1/4th,500.0,Expense,,10.0,USD,500.0
2022-01-05,CUB - online payment,General,,To abijith and to vicky lend money returned,500.0,Expense,,10.0,USD,500.0
2022-01-05,CUB - online payment,General,,Refund for bus ticket,60.0,Expense,,1.2,USD,60.0
2022-01-05,CUB - online payment,Groceries,,Jan 2nd with shakur and barath,354.0,Expense,,7.08,USD,354.0
2022-01-06,CUB - online payment,General,,Rapido to pg,42.0,Expense,,0.84,USD,42.0
2022-01-06,CUB - online payment,Groceries,,Bingo,10.0,Expense,,0.2,USD,10.0
2022-01-06,CUB - online payment,Groceries,,Dinner with roommate,877.81,Expense,,17.5562,USD,877.81
2022-01-06,CUB - online payment,Groceries,,Ketch up,20.0,Expense,,0.4,USD,20.0
2022-01-07,CUB - online payment,Groceries,,Coffee + biscuit,15.0,Expense,,0.3,USD,15.0
2022-01-08,CUB - online payment,Household supplies,,Rent,4580.0,Expense,,91.6,USD,4580.0
2022-01-08,CUB - online payment,Groceries,,Lunch with gowdham,535.3,Expense,,10.706,USD,535.3
2022-01-10,CUB - online payment,Groceries,,Friday snacks with preethi gang,106.0,Expense,,2.12,USD,106.0
2022-01-11,CUB - online payment,Groceries,,Lunch with not preethi,135.5,Expense,,2.71,USD,135.5
2022-01-12,CUB - online payment,Groceries,,Pizza,301.75,Expense,,6.035,USD,301.75
2022-01-12,CUB - online payment,General,,Recharge by gowdham,479.0,Expense,,9.58,USD,479.0
2022-01-13,CUB - online payment,General,,Rapido to pg,43.0,Expense,,0.86,USD,43.0
2022-01-13,CUB - online payment,Groceries,,Dinner,66.0,Expense,,1.32,USD,66.0
2022-01-14,CUB - online payment,Groceries,,Lunch pongal,1530.0,Expense,,30.6,USD,1530.0
2022-01-15,CUB - online payment,Groceries,,Snacks,70.0,Expense,,1.4,USD,70.0
2022-01-15,CUB - online payment,General,,Bus to Bangalore,1365.0,Expense,,27.3,USD,1365.0
2022-01-17,CUB - online payment,Groceries,,Eve snack,100.0,Expense,,2.0,USD,100.0
2022-01-18,CUB - online payment,Groceries,,Dinner,301.15,Expense,,6.023,USD,301.15
2022-01-18,CUB - online payment,Groceries,,Lunch with company,148.0,Expense,,2.96,USD,148.0
2022-01-18,CUB - online payment,General,,To kumara,200.0,Expense,,4.0,USD,200.0
2022-01-18,CUB - online payment,Groceries,,Snack with preethi,59.0,Expense,,1.18,USD,59.0
2022-01-19,CUB - online payment,Groceries,,Lunch + chocolate for preethi,171.0,Expense,,3.42,USD,171.0
2022-01-21,CUB - online payment,Groceries,,Snacks,37.0,Expense,,0.74,USD,37.0
2022-01-21,CUB - online payment,Groceries,,Lunch with company,188.0,Expense,,3.76,USD,188.0
2022-01-23,CUB - online payment,Dining out,,Badminton,200.0,Expense,,4.0,USD,200.0
2022-01-23,CUB - online payment,Groceries,,Snacks with preethi and azar,176.0,Expense,,3.52,USD,176.0
2022-01-23,CUB - online payment,Groceries,,Lunch,302.0,Expense,,6.04,USD,302.0
2022-01-23,CUB - online payment,Groceries,,Sent to vicky,300.0,Expense,,6.0,USD,300.0
2022-01-23,CUB - online payment,Groceries,,Dinner,465.0,Expense,,9.3,USD,465.0
2022-01-23,CUB - online payment,Groceries,,Pepsi,40.0,Expense,,0.8,USD,40.0
2022-01-24,CUB - online payment,Groceries,,Lunch with company,133.0,Expense,,2.66,USD,133.0
2022-01-24,CUB - online payment,Groceries,,Snack,40.0,Expense,,0.8,USD,40.0
2022-01-25,CUB - online payment,Groceries,,Kfc date with myself,259.0,Expense,,5.18,USD,259.0
2022-01-25,CUB - online payment,General,,Train to vnr,325.0,Expense,,6.5,USD,325.0
2022-01-25,CUB - online payment,Groceries,,Lemon tea,18.0,Expense,,0.36,USD,18.0
2022-01-26,CUB - online payment,Groceries,,Paani poori,25.0,Expense,,0.5,USD,25.0
